2020-11-03 17:19:18,930 p=1 u=root n=ansible | PLAY [all] ***********************************************************************************************************************************************************************************
2020-11-03 17:19:20,124 p=1 u=root n=ansible | TASK [localhost-build-dirs : remove any previous build directory complete] *******************************************************************************************************************
2020-11-03 17:19:20,124 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:20 +0000 (0:00:00.281)       0:00:01.261 ****** 
2020-11-03 17:19:20,348 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:20,352 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:20,357 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:20,362 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:20,368 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:20,383 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:20,388 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:20,398 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:20,414 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:20,415 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:20,419 p=1 u=root n=ansible | TASK [localhost-build-dirs : create new build_directory_complete] ****************************************************************************************************************************
2020-11-03 17:19:20,419 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:20 +0000 (0:00:00.294)       0:00:01.555 ****** 
2020-11-03 17:19:20,639 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:20,662 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:20,663 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:20,664 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:20,672 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:20,679 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:20,689 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:20,692 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:20,693 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:20,710 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:20,714 p=1 u=root n=ansible | PLAY [all] ***********************************************************************************************************************************************************************************
2020-11-03 17:19:20,725 p=1 u=root n=ansible | TASK [build_config_stanza/version : building version configuration] **************************************************************************************************************************
2020-11-03 17:19:20,726 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:20 +0000 (0:00:00.306)       0:00:01.862 ****** 
2020-11-03 17:19:21,389 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:21,390 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:21,391 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:21,391 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:21,392 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:21,393 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:21,395 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:21,396 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:21,397 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:21,400 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:21,404 p=1 u=root n=ansible | TASK [build_config_stanza/apply_groups : building apply_groups configuration] ****************************************************************************************************************
2020-11-03 17:19:21,404 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:21 +0000 (0:00:00.678)       0:00:02.540 ****** 
2020-11-03 17:19:21,801 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:21,804 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:21,827 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:21,833 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:21,836 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:21,843 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:21,844 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:21,848 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:21,856 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:21,860 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:21,864 p=1 u=root n=ansible | TASK [build_config_stanza/groups : building groups configuration] ****************************************************************************************************************************
2020-11-03 17:19:21,865 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:21 +0000 (0:00:00.460)       0:00:03.001 ****** 
2020-11-03 17:19:22,313 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:22,326 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:22,337 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:22,340 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:22,344 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:22,358 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:22,359 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:22,359 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:22,368 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:22,378 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:22,382 p=1 u=root n=ansible | TASK [build_config_stanza/system : building system configuration] ****************************************************************************************************************************
2020-11-03 17:19:22,382 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:22 +0000 (0:00:00.517)       0:00:03.518 ****** 
2020-11-03 17:19:22,930 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:22,957 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:22,963 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:22,978 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:22,982 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:22,982 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:22,996 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:23,008 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:23,011 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:23,014 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:23,019 p=1 u=root n=ansible | TASK [build_config_stanza/chassis : building chassis configuration] **************************************************************************************************************************
2020-11-03 17:19:23,019 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:23 +0000 (0:00:00.636)       0:00:04.155 ****** 
2020-11-03 17:19:23,455 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:23,456 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:23,457 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:23,465 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:23,482 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:23,491 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:23,497 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:23,513 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:23,516 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:23,527 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:23,531 p=1 u=root n=ansible | TASK [build_config_stanza/interfaces : building interfaces configuration] ********************************************************************************************************************
2020-11-03 17:19:23,532 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:23 +0000 (0:00:00.512)       0:00:04.668 ****** 
2020-11-03 17:19:23,990 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:24,014 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:24,017 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:24,019 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:24,024 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:24,036 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:24,058 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:24,075 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:24,078 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:24,081 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:24,085 p=1 u=root n=ansible | TASK [build_config_stanza/snmp : building snmp configuration] ********************************************************************************************************************************
2020-11-03 17:19:24,085 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:24 +0000 (0:00:00.553)       0:00:05.221 ****** 
2020-11-03 17:19:24,503 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:24,520 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:24,526 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:24,546 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:24,548 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:24,551 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:24,555 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:24,559 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:24,563 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:24,564 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:24,568 p=1 u=root n=ansible | TASK [build_config_stanza/forwarding_options : building forwarding_options configuration] ****************************************************************************************************
2020-11-03 17:19:24,568 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:24 +0000 (0:00:00.483)       0:00:05.705 ****** 
2020-11-03 17:19:24,973 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:24,974 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:25,006 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:25,008 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:25,017 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:25,017 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:25,028 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:25,032 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:25,032 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:25,043 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:25,047 p=1 u=root n=ansible | TASK [build_config_stanza/routing_instances : building routing_instances configuration] ******************************************************************************************************
2020-11-03 17:19:25,047 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:25 +0000 (0:00:00.478)       0:00:06.183 ****** 
2020-11-03 17:19:25,491 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:25,495 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:25,513 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:25,531 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:25,536 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:25,540 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:25,551 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:25,552 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:25,554 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:25,564 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:25,568 p=1 u=root n=ansible | TASK [build_config_stanza/routing_options : building routing_options configuration] **********************************************************************************************************
2020-11-03 17:19:25,568 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:25 +0000 (0:00:00.520)       0:00:06.704 ****** 
2020-11-03 17:19:26,014 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:26,028 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:26,034 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:26,042 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:26,050 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:26,050 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:26,051 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:26,057 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:26,067 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:26,097 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:26,101 p=1 u=root n=ansible | TASK [build_config_stanza/protocols : building protocols configuration] **********************************************************************************************************************
2020-11-03 17:19:26,101 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:26 +0000 (0:00:00.533)       0:00:07.238 ****** 
2020-11-03 17:19:26,672 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:26,697 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:26,701 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:26,704 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:26,705 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:26,734 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:26,736 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:26,738 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:26,744 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:26,757 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:26,761 p=1 u=root n=ansible | TASK [build_config_stanza/policy_options : building policy_options configuration] ************************************************************************************************************
2020-11-03 17:19:26,761 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:26 +0000 (0:00:00.659)       0:00:07.897 ****** 
2020-11-03 17:19:27,224 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:27,241 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:27,242 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:27,245 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:27,251 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:27,257 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:27,257 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:27,259 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:27,260 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:27,281 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:27,285 p=1 u=root n=ansible | TASK [build_config_stanza/class_of_service : building class_of_service configuration] ********************************************************************************************************
2020-11-03 17:19:27,285 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:27 +0000 (0:00:00.524)       0:00:08.421 ****** 
2020-11-03 17:19:27,742 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:27,747 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:27,761 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:27,766 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:27,788 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:27,789 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:27,790 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:27,793 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:27,798 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:27,811 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:27,816 p=1 u=root n=ansible | TASK [build_config_stanza/firewall : building firewall configuration] ************************************************************************************************************************
2020-11-03 17:19:27,816 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:27 +0000 (0:00:00.530)       0:00:08.952 ****** 
2020-11-03 17:19:28,366 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:28,384 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:28,385 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:28,390 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:28,398 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:28,409 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:28,410 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:28,441 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:28,441 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:28,448 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:28,452 p=1 u=root n=ansible | TASK [build_config_stanza/switch_options : building switch_options configuration] ************************************************************************************************************
2020-11-03 17:19:28,452 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:28 +0000 (0:00:00.636)       0:00:09.588 ****** 
2020-11-03 17:19:28,870 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:28,889 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:28,897 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:28,904 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:28,906 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:28,907 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:28,930 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:28,933 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:28,939 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:28,940 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:28,944 p=1 u=root n=ansible | TASK [build_config_stanza/poe : building poe configuration] **********************************************************************************************************************************
2020-11-03 17:19:28,944 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:28 +0000 (0:00:00.492)       0:00:10.080 ****** 
2020-11-03 17:19:29,377 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:29,393 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:29,394 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:29,403 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:29,404 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:29,412 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:29,412 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:29,417 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:29,427 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:29,452 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:29,456 p=1 u=root n=ansible | TASK [build_config_stanza/access : building access configuration] ****************************************************************************************************************************
2020-11-03 17:19:29,456 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:29 +0000 (0:00:00.511)       0:00:10.592 ****** 
2020-11-03 17:19:29,860 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:29,867 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:29,881 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:29,881 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:29,895 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:29,898 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:29,903 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:29,918 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:29,926 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:29,928 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:29,932 p=1 u=root n=ansible | TASK [build_config_stanza/vlans : building vlans configuration] ******************************************************************************************************************************
2020-11-03 17:19:29,932 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:29 +0000 (0:00:00.475)       0:00:11.068 ****** 
2020-11-03 17:19:30,343 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:30,362 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:30,369 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:30,369 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:30,401 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:30,408 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:30,412 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:30,413 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:30,419 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:30,423 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:30,427 p=1 u=root n=ansible | TASK [assemble_config : check if directory is present] ***************************************************************************************************************************************
2020-11-03 17:19:30,428 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:30 +0000 (0:00:00.495)       0:00:11.564 ****** 
2020-11-03 17:19:30,598 p=1 u=root n=ansible | ok: [core-sw1]
2020-11-03 17:19:30,603 p=1 u=root n=ansible | TASK [assemble_config : assemble configurations to temp completed folder] ********************************************************************************************************************
2020-11-03 17:19:30,603 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:30 +0000 (0:00:00.175)       0:00:11.739 ****** 
2020-11-03 17:19:30,951 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:30,960 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:30,961 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:30,962 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:30,964 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:30,964 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:30,966 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:30,966 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:30,970 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:30,971 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:30,975 p=1 u=root n=ansible | TASK [assemble_config : Remove blank lines between matches] **********************************************************************************************************************************
2020-11-03 17:19:30,975 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:30 +0000 (0:00:00.372)       0:00:12.111 ****** 
2020-11-03 17:19:31,328 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:31,330 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:31,333 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:31,334 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:31,336 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:31,337 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:31,342 p=1 u=root n=ansible | changed: [access-sw1]
